"userid";"telefone";"nome";"email";"senha"
1;896523479;"Thiago";"thiago@example.com";"12345678"
2;986753401;"Marcos";"marcosa@example.com";"12345678"
3;907645321;"Ana";"ana@example.com";"12345678"
4;945563271;"Carlos";"carlos@example.com";"12345678"
5;924332746;"Fernando";"fernando@example.com";"12345678"
6;922433362;"Bernardo";"bernardo@example.com";"12345678"
7;912244373;"Maria";"maria@example.com";"12345678"
8;951282494;"Alessandra";"alessandra@example.com";"12345678"
10;937551552;"Carolina";"carolina@example.com";"12345678"
11;923735560;"Antonia";"antonia@example.com";"12345678"
12;803585660;"Rogerio";"rogerio@example.com";"12345678"
13;256389965;"Renato";"renato@example.com";"12345678"
14;982736485;"Isabel";"isa@example.com";"isa45678"
15;912736780;"Marina";"marina@example.com";"marina78"
16;212338780;"Melania";"ania@example.com";"ania5678"
